fish,pește|peștele
spider,păianjen|păianjenul
snake,șarpe|șarpele
outside,afară
inside,înăuntru
far,departe
close,aproape
below,dedesubt
above,deasupra
beside,lângă
front,înainte
back,înapoi
sweet,dulce|dulce|dulce|dulci
sour,acru|acră|acru|acri|acre
strange,ciudat|ciudată|ciudat|ciudați|ciudate
soft,moale|moale|moale|moi
hard,tare|tare|tare|tari
cute,drăguț|drăguță|drăguț|drăguți|drăguțe
stupid,prost|proastă|prost|proști|proaste
crazy,nebun|nebună|nebun|nebuni|nebune
busy,ocupat|ocupată|ocupat|ocupați|ocupate
tall,înalt|înaltă|înalt|înalți|înalte
short,scund|scundă|scund|scunzi|scunde
worried,îngrijorat|îngrijorată|îngrijorat|îngrijorați|îngrijorate
surprised,surprins|surprinsă|surprins|surprinși|surprinse
cool,grozav|grozavă|grozav|grozavi|grozave
well-behaved,cuminte|cuminte|cuminte|cuminți
evil,rău|rea|rău|răi|rele
clever,deștept|deșteaptă|deștept|deștepți|deștepte
cold,rece|rece|rece|reci
hot,fierbinte|fierbinte|fierbinte|fierbinți
head,cap|capul
nose,nas|nasul
hair,păr|părul
mouth,gură|gura
ear,ureche|urechea
eye,ochi|ochiul
hand,mână|mâna
foot,picior|piciorul
heart,inimă|inima
brain,creier|creierul
to pull,a trage|trag|trăgând|tras
to push,a împinge|împing|împingând|împins
to press,a apăsa|apăs|apăsând|apăsat
to hit,a lovi|lovesc|lovind|lovit
to catch,a prinde|prind|prinzând|prins
to fight,a lupta|lupt|luptând|luptat
to throw,a arunca|arunc|aruncând|aruncat
to run,a alerga|alerg|alergând|alergat
to read,a citi|citesc|citind|citit
