to write,a scrie|scriu|scriind|scris
to fix,a repara|repar|reparând|reparat
to count,a număra|număr|numărând|numărat
to cut,a tăia|tai|tăind|tăiat
to sell,a vinde|vând|vânzând|vândut
to buy,a cumpăra|cumpăr|cumpărând|cumpărat
to pay,a plăti|plătesc|plătind|plătit
to study,a studia|studiez|studiind|studiat
to dream,a visa|visez|visând|visat
to sleep,a dormi|dorm|dormind|dormit
to play,a se juca|mă joc|jucându-mă|jucat
to celebrate,a sărbători|sărbătoresc|sărbătorind|sărbătorit
to rest,a se odihni|odihnesc|odihnind|odihnit
to enjoy,a se bucura|mă bucur|bucurându-mă|bucurat
to clean,a curăța|curăț|curățând|curățat
school,școală|școala
house,casă|casa
door,ușă|ușa
husband,soț|soțul
wife,soție|soția
wedding,nuntă|nunta
person,persoană|persoana
car,mașină|mașina
home,acasă
city,oraș|orașul
number,număr|numărul
21,douăzeci și unu
22,douăzeci și doi
26,douăzeci și șase
30,treizeci
31,treizeci și unu
33,treizeci și trei
37,treizeci și șapte
40,patruzeci
41,patruzeci și unu
44,patruzeci și patru
48,patruzeci și opt
50,cincizeci
51,cincizeci și unu
55,cincizeci și cinci
59,cincizeci și nouă
60,șaizeci
61,șaizeci și unu
62,șaizeci și doi
66,șaizeci și șase
70,șaptezeci
71,șaptezeci și unu
73,șaptezeci și trei
77,șaptezeci și șapte
80,optzeci
