cough,tuse|tusea
neck,gât|gâtul
bottom,fund|fundul
shoulder,umăr|umărul
knee,genunchi|genunchiul
leg,picior|piciorul
arm,braț|brațul
belly,burtă|burta
bosom,sân|sânul
back,spate|spatele
tooth,dinte|dintele
tongue,limbă|limba
lip,buză|buza
finger,deget|degetul
toe,deget de la picior|degetul de la picior
stomach,stomac|stomacul
lung,plămân|plămânul
liver,ficat|ficatul
nerve,nerv|nervul
kidney,rinichi|rinichiul
intestine,intestin|intestinul
colour,culoare|culoarea
orange,portocaliu|portocalie|portocaliu|portocalii
grey,gri|gri|gri|gri
brown,maro|maro|maro|maro
pink,roz|roz|roz|roz
boring,plictisitor|plictisitoare|plictisitor|plictisitori/plictisitoare
heavy,greu|grea|greu|grei/grele
light,ușor|ușoară|ușor|ușori/ușoare
lonely,singur|singură|singur|singuri/singure
hungry,înfometat|înfometată|înfometat|înfometați/înfometate
thirsty,însetat|însetată|însetat|însetați/însetate
sad,trist|tristă|trist|triști/triste
steep,abrupt|abruptă|abrupt|abrupți/abrupte
flat,plat|plată|plat|plați/plate
round,rotund|rotundă|rotund|rotunzi/rotunde
square,pătrat|pătrată|pătrat|pătrați/pătrate
narrow,îngust|îngustă|îngust|înguști/înguste
broad,lat|lată|lat|lați/late
deep,adânc|adâncă|adânc|adânci
shallow,puțin adânc|adâncă|adânc|adânci
huge,uriaș|uriașă|uriaș|uriași/uriașe
north,nord
east,est
south,sud
west,vest
dirty,murdar|murdară|murdar|murdari/murdare
clean,curat|curată|curat|curați/curate
full,plin|plină|plin|plini/pline
empty,gol|goală|gol|goi/goale
