1,unu
2,doi
3,trei
4,patru
5,cinci
6,șase
7,șapte
8,opt
9,nouă
10,zece
11,unsprezece
12,doisprezece
13,treisprezece
14,paisprezece
15,cincisprezece
16,șaisprezece
17,șaptesprezece
18,optsprezece
19,nouăsprezece
20,douăzeci
new,nou|nouă|nou|noi
old,vechi|veche|vechi|vechi
few,puțini|puține
many,mulți|multe
how much?,cât?
how many?,câți?
wrong,greșit|greșită|greșit|greșiți|greșite
correct,corect|corectă|corect|corecți|corecte
bad,rău|rea|rău|răi|rele
good,bun|bună|bun|buni|bune
happy,fericit|fericită|fericit|fericiți|fericite
short,scurt|scurtă|scurt|scurți|scurte
long,lung|lungă|lung|lungi
small,mic|mică|mic|mici
big,mare|mare|mare|mari
there,acolo
here,aici
right,dreapta
left,stânga
beautiful,frumos|frumoasă|frumos|frumoși|frumoase
young,tânăr|tânără|tânăr|tineri|tinere
old,bătrân|bătrână|bătrân|bătrâni|bătrâne
hello,bună
see you later,ne vedem mai târziu
ok,ok
take care,ai grijă de tine
don't worry,nu-ți face probleme
of course,bineînțeles
good day,bună ziua
hi,salut
