expensive,scump|scumpă|scump|scumpi|scumpe
cheap,ieftin|ieftină|ieftin|ieftini|ieftine
dark,întunecat|întunecată|întunecat|întunecați|întunecate
light,luminos|luminoasă|luminos|luminoși|luminoase
sexy,sexy|sexy|sexy|sexy
lazy,leneș|leneșă|leneș|leneși|leneșe
brave,curajos|curajoasă|curajos|curajoși|curajoase
generous,generos|generoasă|generos|generoși|generoase
handsome,arătos|arătoasă|arătos|arătoși|arătoase
ugly,urât|urâtă|urât|urâți|urâte
silly,nătâng|nătângă|nătâng|nătângi|nătânge
friendly,prietenos|prietenoasă|prietenos|prietenoși|prietenoase
guilty,vinovat|vinovată|vinovat|vinovați|vinovate
blind,orb|oarbă|orb|orbi|oarbe
drunk,beat|beată|beat|beți|bete
wet,umed|umedă|umed|umezi|umede
dry,uscat|uscată|uscat|uscați|uscate
warm,cald|caldă|cald|calzi|calde
loud,zgomotos|zgomotoasă|zgomotos|zgomotoși|zgomotoase
quiet,liniştit|liniştită|liniştit|liniştiti|liniştite
silent,tăcut|tăcută|tăcut|tăcuți|tăcute
kitchen,bucătărie|bucătăria
bathroom,baie|baia
living room,sufragerie|sufrageria
bedroom,dormitor|dormitorul
garden,grădină|grădina
garage,garaj|garajul
wall,perete|peretele
basement,subsol|subsolul
toilet,toaletă|toaleta
stairs,scară|scara
roof,acoperiș|acoperișul
window,fereastră|fereastra
knife,cuțit|cuțitul
cup,ceașcă|ceașca
glass,pahar|paharul
plate,farfurie|farfuria
cup,pahar|paharul
garbage bin,coș de gunoi|coșul de gunoi
bowl,castron|castronul
TV set,televizor|televizorul
desk,birou|biroul
bed,pat|patul
mirror,oglindă|oglinda
shower,duș|dușul
sofa,canapea|canapeaua
picture,fotografie|fotografia
clock,ceas|ceasul
table,masă|masa
chair,scaun|scaunul
