guest,oaspete|oaspetele
birthday,zi de naştere|ziua de naştere
Christmas,Crăciun|Crăciunul
New Year,An Nou|Anul Nou
Easter,Paște|Paștele
uncle,unchi|unchiul
aunt,mătușă|mătușa
grandmother,bunică|bunica
grandfather,bunic|bunicul
grandmother,bunică|bunica
grandfather,bunic|bunicul
death,moarte|moartea
grave,mormânt|mormântul
divorce,divorț|divorțul
bride,mireasă|mireasa
groom,mire|mirele
101,o sută unu
105,o sută cinci
110,o sută zece
151,o sută cincizeci și unu
200,două sute
202,două sute doi
206,două sute șase
220,două sute douăzeci
262,două sute șaizeci și doi
300,trei sute
303,trei sute trei
307,trei sute șapte
330,trei sute treizeci
373,trei sute șaptezeci și trei
400,patru sute
404,patru sute patru
408,patru sute opt
440,patru sute patruzeci
484,patru sute optzeci și patru
500,cinci sute
505,cinci sute cinci
509,cinci sute nouă
550,cinci sute cincizeci
595,cinci sute nouăzeci și cinci
600,șase sute
601,șase sute unu
606,șase sute șase
616,șase sute șaisprezece
660,șase sute șaizeci
700,șapte sute
702,șapte sute doi
707,șapte sute șapte
727,șapte sute douăzeci și șapte
770,șapte sute șaptezeci
