next year,anul viitor
last month,luna trecută
this month,luna aceasta
next month,luna viitoare
2014-01-01,întâi ianuarie două mii paisprezece
2003-02-25,douăzeci și cinci februarie două mii trei
1988-04-12,doisprezece aprilie o mie nouă sute optzeci și opt
1899-10-13,treisprezece octombrie o mie opt sute nouăzeci și nouă
1907-09-30,treizeci septembrie o mie nouă sute șapte
2000-12-12,doisprezece decembrie două mii
forehead,frunte|fruntea
wrinkle,rid|ridul
chin,bărbie|bărbia
cheek,obraz|obrazul
beard,barbă|barba
eyelashes,gene|genele
eyebrow,sprânceană|sprânceana
waist,talie|talia
nape,ceafă|ceafa
chest,piept|pieptul
thumb,deget mare|degetul mare
little finger,deget mic|degetul mic
ring finger,deget inelar|degetul inelar
middle finger,deget mijlociu|degetul mijlociu
index finger,deget arătător|degetul arătător
wrist,încheietura mâinii|încheietura mâinii
fingernail,unghie|unghia
heel,călcâi|călcâiul
spine,coloană vertebrală|coloana vertebrală
muscle,mușchi|mușchiul
bone,os|osul
skeleton,schelet|scheletul
rib,coastă|coasta
vertebra,vertebră|vertebra
bladder,vezică|vezica
vein,venă|vena
artery,arteră|artera
vagina,vagin|vaginul
sperm,spermă|sperma
penis,penis|penisul
testicle,testicul|testiculul
juicy,zemos|zemoasă|zemos|zemoși|zemoase
hot,picant|picantă|picant|picanți|picante
salty,sărat|sărată|sărat|sărați|sărate
raw,crud|crudă|crud|cruzi|crude
boiled,fiert|fiartă|fiert|fierți|fierte
shy,timid|timidă|timid|timizi|timide
greedy,lacom|lacomă|lacom|lacomi|lacome
strict,sever|severă|sever|severi|severe
deaf,surd|surdă|surd|surzi|surde
