pig,porc|porcul
cow,vacă|vaca
horse,cal|calul
dog,câine|câinele
sheep,oaie|oaia
monkey,maimuță|maimuța
cat,pisică|pisica
bear,urs|ursul
chicken,găină|găina
duck,rață|rața
butterfly,fluture|fluturele
bee,albină|albina
fish,pește|peștele
spider,păianjen|păianjenul
snake,șarpe|șarpele
tiger,tigru|tigrul
mouse,șoarece|șoarecele
rabbit,iepure|iepurele
lion,leu|leul
donkey,măgar|măgarul
elephant,elefant|elefantul
pigeon,porumbel|porumbelul
bug,gândac|gândacul
mosquito,țânțar|țânțarul
fly,muscă|musca
ant,furnică|furnica
whale,balenă|balena
shark,rechin|rechinul
dolphin,delfin|delfinul
snail,melc|melcul
frog,broască|broasca
panda,panda|panda
polar bear,urs polar|ursul polar
wolf,lup|lupul
koala,koala|koala
kangaroo,cangur|cangurul
giraffe,girafă|girafa
fox,vulpe|vulpea
hippo,hipopotam|hipopotamul
bat,liliac|liliacul
raven,corb|corbul
swan,lebădă|lebăda
seagull,pescăruș|pescărușul
owl,bufniță|bufnița
penguin,pinguin|pinguinul
parrot,papagal|papagalul
caterpillar,omidă|omida
dragonfly,libelulă|libelula
squid,calmar|calmarul
octopus,caracatiță|caracatița
sea horse,căluț de mare|căluțul de mare
seal,focă|foca
jellyfish,meduză|meduza
crab,rac|racul
dinosaur,dinozaur|dinozaurul
tortoise,țestoasă|țestoasa
crocodile,crocodil|crocodilul
