head,cap|capul
nose,nas|nasul
hair,păr|părul
mouth,gură|gura
ear,ureche|urechea
eye,ochi|ochiul
hand,mână|mâna
foot,picior|piciorul
heart,inimă|inima
brain,creier|creierul
neck,gât|gâtul
bottom,fund|fundul
shoulder,umăr|umărul
knee,genunchi|genunchiul
leg,picior|piciorul
arm,braț|brațul
belly,burtă|burta
bosom,sân|sânul
back,spate|spatele
tooth,dinte|dintele
tongue,limbă|limba
lip,buză|buza
finger,deget|degetul
toe,deget de la picior|degetul de la picior
stomach,stomac|stomacul
lung,plămân|plămânul
liver,ficat|ficatul
nerve,nerv|nervul
kidney,rinichi|rinichiul
intestine,intestin|intestinul
forehead,frunte|fruntea
chin,bărbie|bărbia
cheek,obraz|obrazul
beard,barbă|barba
thumb,deget mare|degetul mare
little finger,deget mic|degetul mic
ring finger,deget inelar|degetul inelar
middle finger,deget mijlociu|degetul mijlociu
index finger,deget arătător|degetul arătător
fingernail,unghie|unghia
heel,călcâi|călcâiul
spine,coloană vertebrală|coloana vertebrală
muscle,mușchi|mușchiul
bone,os|osul
skeleton,schelet|scheletul
rib,coastă|coasta
vertebra,vertebră|vertebra
bladder,vezică|vezica
vein,venă|vena
artery,arteră|artera
vagina,vagin|vaginul
sperm,spermă|sperma
penis,penis|penisul
testicle,testicul|testiculul
